"domain_id","M","SD"
"b",3.26,1.38
"c",3.22,1.54
"r",3.15,1.46
"m",2.99,1.36
"o",2.99,1.49
"p",2.9,1.48
"s",2.89,1.39
"n",2.86,1.42
"i",2.85,1.38
"f",2.77,1.43
"a",2.75,1.32
"e",2.72,1.43
"k",2.63,1.46
