"domain_id","M","SD"
"c",3.67,1.46
"r",3.47,1.48
"o",3.3,1.51
"n",3.22,1.51
"p",3.22,1.58
"i",3.21,1.41
"b",3.2,1.43
"e",3.06,1.51
"f",2.97,1.49
"s",2.95,1.41
"k",2.94,1.5
"m",2.91,1.38
"a",2.6,1.34
