"","Term","Coefficient","SE","T.statistic","P.value"
"1","(Intercept)","2.659","0.011","252.097","< 0.001"
"2","languagefr","-0.027","0.004","-7.234","< 0.001"
"3","languagege","0.19","0.004","52.581","< 0.001"
"4","idiom_ida17","-0.032","0.022","-1.46","0.14"
"5","idiom_ida20","-0.323","0.017","-19.265","< 0.001"
"6","idiom_idb03","0.479","0.021","22.97","< 0.001"
"7","idiom_idb08","0.257","0.015","16.952","< 0.001"
"8","idiom_idb20","-0.443","0.019","-22.907","< 0.001"
"9","idiom_idb23","0.983","0.014","68.826","< 0.001"
"10","idiom_idb29","0.562","0.016","35.223","< 0.001"
"11","idiom_idb34","0.041","0.022","1.866","0.062"
"12","idiom_idc14","-0.108","0.016","-6.854","< 0.001"
"13","idiom_idc25","0.954","0.013","72.967","< 0.001"
"14","idiom_idc25b","0.927","0.014","65.313","< 0.001"
"15","idiom_idc26","0.745","0.013","57.034","< 0.001"
"16","idiom_ide03","0.273","0.021","12.961","< 0.001"
"17","idiom_ide05","0.268","0.02","13.485","< 0.001"
"18","idiom_ide09","-0.034","0.02","-1.657","0.097"
"19","idiom_ide10","0.171","0.018","9.601","< 0.001"
"20","idiom_ide17","-0.15","0.039","-3.88","< 0.001"
"21","idiom_ide21","0.101","0.014","6.96","< 0.001"
"22","idiom_idf05","0.34","0.017","20.177","< 0.001"
"23","idiom_idf08","0.135","0.031","4.365","< 0.001"
"24","idiom_idf14","0.298","0.028","10.528","< 0.001"
"25","idiom_idf24","0.522","0.048","10.774","< 0.001"
"26","idiom_idf25","0.263","0.021","12.39","< 0.001"
"27","idiom_idf27","-0.287","0.018","-15.668","< 0.001"
"28","idiom_idi01","0.32","0.013","24.069","< 0.001"
"29","idiom_idi03","0.288","0.013","21.386","< 0.001"
"30","idiom_idi05","0.315","0.018","17.132","< 0.001"
"31","idiom_idi09","0.648","0.014","46.781","< 0.001"
"32","idiom_idi16","0.086","0.013","6.389","< 0.001"
"33","idiom_idi18","0.595","0.016","37.979","< 0.001"
"34","idiom_idk04","0.326","0.015","21.365","< 0.001"
"35","idiom_idk10","-0.162","0.016","-10.181","< 0.001"
"36","idiom_idk13","-0.152","0.021","-7.264","< 0.001"
"37","idiom_idk20","0.926","0.025","37.493","< 0.001"
"38","idiom_idk21","-0.096","0.021","-4.594","< 0.001"
"39","idiom_idk23","-0.099","0.018","-5.469","< 0.001"
"40","idiom_idm03","0.142","0.015","9.22","< 0.001"
"41","idiom_idm04","0.211","0.013","16.027","< 0.001"
"42","idiom_idm04b","0.176","0.018","10.022","< 0.001"
"43","idiom_idm08","0.894","0.021","43.261","< 0.001"
"44","idiom_idm13","0.192","0.025","7.792","< 0.001"
"45","idiom_idm20","0.018","0.014","1.242","0.21"
"46","idiom_idm21","-0.213","0.031","-6.831","< 0.001"
"47","idiom_idn01","0.04","0.026","1.53","0.13"
"48","idiom_idn03","0.329","0.023","14.241","< 0.001"
"49","idiom_idn08","-0.006","0.03","-0.213","0.83"
"50","idiom_idn11","0.561","0.017","32.417","< 0.001"
"51","idiom_idn18","0.353","0.018","19.692","< 0.001"
"52","idiom_idn26","-0.179","0.022","-8.294","< 0.001"
"53","idiom_ido01","0.422","0.016","26.952","< 0.001"
"54","idiom_ido04","0.308","0.017","18.43","< 0.001"
"55","idiom_ido11","0.228","0.016","14.27","< 0.001"
"56","idiom_ido12","-0.037","0.024","-1.559","0.12"
"57","idiom_ido13","0.67","0.014","47.049","< 0.001"
"58","idiom_ido20","-0.382","0.027","-13.956","< 0.001"
"59","idiom_idp01","0.775","0.015","50.167","< 0.001"
"60","idiom_idp02","0.622","0.013","46.809","< 0.001"
"61","idiom_idp05","-0.335","0.013","-25.672","< 0.001"
"62","idiom_idp09","0.136","0.013","10.383","< 0.001"
"63","idiom_idp10","0.975","0.014","70.244","< 0.001"
"64","idiom_idp17","0.107","0.017","6.361","< 0.001"
"65","idiom_idr01","-0.116","0.015","-7.619","< 0.001"
"66","idiom_idr03","0.723","0.014","53.417","< 0.001"
"67","idiom_idr08","0.743","0.021","35.888","< 0.001"
"68","idiom_idr09","-0.225","0.028","-7.99","< 0.001"
"69","idiom_idr17","1.319","0.017","78.665","< 0.001"
"70","idiom_idr18","0.089","0.014","6.318","< 0.001"
"71","idiom_ids03","1.057","0.016","64.927","< 0.001"
"72","idiom_ids04","0.005","0.014","0.379","0.7"
"73","idiom_ids06","0.064","0.015","4.26","< 0.001"
"74","idiom_ids07","0.235","0.016","14.398","< 0.001"
"75","idiom_ids10","-0.49","0.016","-31.081","< 0.001"
"76","idiom_ids12","0.39","0.013","29.515","< 0.001"
