"","Term","Coefficient","SE","T.statistic","P.value"
"1","(Intercept)","2.3864e-07","2.4084e-07","0.990866287375","0.32"
"2","domain_idb","-1.856e-08","2.94968e-07","-0.062923550963","0.95"
"3","domain_idc","9.65809e-07","3.18602e-07","3.031400481869","0.003"
"4","domain_ide","-7.4411e-08","2.94968e-07","-0.252268158887","0.8"
"5","domain_idf","-1.36787e-07","2.94968e-07","-0.463736477954","0.64"
"6","domain_idi","2.40677e-07","2.94968e-07","0.815943343904","0.42"
"7","domain_idk","-6.1807e-08","2.94968e-07","-0.209539125126","0.83"
"8","domain_idm","5.19764e-07","2.92369e-07","1.777768715143","0.077"
"9","domain_idn","-1.25704e-07","2.94968e-07","-0.426162450882","0.67"
"10","domain_ido","-1.3111e-08","2.94968e-07","-0.04444927134","0.96"
"11","domain_idp","6.8314e-07","2.94968e-07","2.315982352725","0.022"
"12","domain_idr","8.8628e-08","2.94968e-07","0.300468227114","0.76"
"13","domain_ids","1.50173e-07","2.94968e-07","0.509114928719","0.61"
