"","Term","Coefficient","SE","T.statistic","P.value"
"1","(Intercept)","3.206","0.004","793.097","< 0.001"
"2","domain_namebible","-0.011","0.007","-1.656","0.098"
"3","domain_namefables_folk_narratives","-0.335","0.009","-36.575","< 0.001"
"4","domain_nameforces_of_nature","-0.19","0.009","-21.659","< 0.001"
"5","domain_namegestures_postures_facial_expressions","-0.15","0.006","-26.429","< 0.001"
"6","domain_namehuman_body","-0.284","0.006","-46.665","< 0.001"
"7","domain_nameintellectual_technical_achievements","-0.119","0.006","-20.633","< 0.001"
"8","domain_namematerial_culture_money_living","-0.311","0.006","-48.491","< 0.001"
"9","domain_namephysical_reactions_sensations","-0.049","0.006","-7.565","< 0.001"
"10","domain_nameproverbs","-0.363","0.008","-46.915","< 0.001"
"11","domain_namespecial_concepts_world","-0.391","0.007","-52.268","< 0.001"
"12","domain_nametime_space","-0.106","0.007","-15.27","< 0.001"
