"","Term","Coefficient","SE","T.statistic","P.value"
"1","(Intercept)","2.99","0.003","1156.478","< 0.001"
"2","languagefr","-0.036","0.004","-9.735","< 0.001"
"3","languagege","0.171","0.004","47.811","< 0.001"
