"","Term","Coefficient","SE","T.statistic","P.value"
"1","(Intercept)","2.507","0.015","164.064","< 0.001"
"2","languagefr","0.24","0.02","11.8","< 0.001"
"3","languagege","0.094","0.019","4.883","< 0.001"
"4","domain_idb","0.625","0.018","34.015","< 0.001"
"5","domain_idc","0.938","0.017","54.7","< 0.001"
"6","domain_ide","0.267","0.019","13.868","< 0.001"
"7","domain_idf","0.324","0.022","14.99","< 0.001"
"8","domain_idi","0.597","0.017","35.614","< 0.001"
"9","domain_idk","0.311","0.02","15.606","< 0.001"
"10","domain_idm","0.294","0.017","17.022","< 0.001"
"11","domain_idn","0.29","0.022","13.318","< 0.001"
"12","domain_ido","0.46","0.018","26.133","< 0.001"
"13","domain_idp","0.519","0.017","31.097","< 0.001"
"14","domain_idr","0.354","0.018","19.94","< 0.001"
"15","domain_ids","0.417","0.017","24.351","< 0.001"
"16","languagefr:domain_idb","-0.114","0.025","-4.522","< 0.001"
"17","languagege:domain_idb","-0.024","0.023","-1.042","0.3"
"18","languagefr:domain_idc","-0.461","0.023","-19.886","< 0.001"
"19","languagege:domain_idc","0.129","0.023","5.679","< 0.001"
"20","languagefr:domain_ide","-0.295","0.026","-11.434","< 0.001"
"21","languagege:domain_ide","0.188","0.025","7.423","< 0.001"
"22","languagefr:domain_idf","-0.302","0.03","-10.246","< 0.001"
"23","languagege:domain_idf","0.046","0.028","1.654","0.098"
"24","languagefr:domain_idi","-0.495","0.023","-21.441","< 0.001"
"25","languagege:domain_idi","0.011","0.021","0.5","0.62"
"26","languagefr:domain_idk","-0.431","0.027","-16.263","< 0.001"
"27","languagege:domain_idk","0.031","0.025","1.26","0.21"
"28","languagefr:domain_idm","-0.055","0.024","-2.335","0.02"
"29","languagege:domain_idm","0.019","0.023","0.828","0.41"
"30","languagefr:domain_idn","-0.179","0.03","-6.039","< 0.001"
"31","languagege:domain_idn","0.325","0.027","11.998","< 0.001"
"32","languagefr:domain_ido","-0.214","0.025","-8.424","< 0.001"
"33","languagege:domain_ido","0.236","0.023","10.242","< 0.001"
"34","languagefr:domain_idp","-0.365","0.023","-16.153","< 0.001"
"35","languagege:domain_idp","0.097","0.021","4.518","< 0.001"
"36","languagefr:domain_idr","0.045","0.024","1.909","0.056"
"37","languagege:domain_idr","0.513","0.023","22.131","< 0.001"
"38","languagefr:domain_ids","-0.271","0.023","-11.682","< 0.001"
"39","languagege:domain_ids","-0.07","0.022","-3.135","0.002"
