"","Term","Coefficient","SE","T.statistic","P.value"
"204","languagege:idiom_idr08","-0.182","0.039","-4.717","< 0.001"
"205","languagefr:idiom_idr09","0.011","0.073","0.155","0.88"
"206","languagege:idiom_idr09","0.095","0.033","2.881","0.004"
"207","languagefr:idiom_idr17","0.148","0.059","2.531","0.011"
"208","languagege:idiom_idr17","0.134","0.058","2.299","0.022"
"209","languagefr:idiom_idr18","0.298","0.021","14.525","< 0.001"
"210","languagege:idiom_idr18","0.428","0.02","21.826","< 0.001"
"211","languagefr:idiom_ids03","-0.111","0.023","-4.937","< 0.001"
"212","languagege:idiom_ids03","-0.162","0.023","-7.022","< 0.001"
"213","languagefr:idiom_ids04","-0.129","0.02","-6.506","< 0.001"
"214","languagege:idiom_ids04","0.028","0.023","1.21","0.23"
"215","languagefr:idiom_ids06","-0.122","0.039","-3.118","0.002"
"216","languagege:idiom_ids06","-0.043","0.02","-2.195","0.028"
"217","languagefr:idiom_ids07","-0.028","0.022","-1.27","0.2"
"218","languagege:idiom_ids07","-0.223","0.029","-7.614","< 0.001"
"219","languagefr:idiom_ids10","-0.094","0.025","-3.693","< 0.001"
"220","languagege:idiom_ids10","-0.083","0.021","-3.939","< 0.001"
"221","languagefr:idiom_ids12","-0.208","0.019","-10.778","< 0.001"
"222","languagege:idiom_ids12","-0.173","0.019","-9.064","< 0.001"
