"","Term","Coefficient","SE","T.statistic","P.value"
"1","(Intercept)","2.979","0.004","749.024","< 0.001"
"2","languagefr","-0.11","0.006","-18.757","< 0.001"
"3","languagege","0.139","0.005","25.334","< 0.001"
"4","superdomainintertextuality","0.12","0.006","18.962","< 0.001"
"5","superdomainnatural_phenomena","-0.07","0.006","-11.42","< 0.001"
"6","languagefr:superdomainintertextuality","0.033","0.009","3.632","< 0.001"
"7","languagege:superdomainintertextuality","-0.06","0.009","-6.862","< 0.001"
"8","languagefr:superdomainnatural_phenomena","0.198","0.009","22.05","< 0.001"
"9","languagege:superdomainnatural_phenomena","0.162","0.009","18.989","< 0.001"
