"","Term","Coefficient","SE","T.statistic","P.value"
"1","(Intercept)","7.90531e-07","1.60741e-07","4.918050782943","< 0.001"
"2","domain_namebible ","-5.70451e-07","2.36604e-07","-2.41099588593","0.017"
"3","domain_namefables_folk_narratives","-6.88678e-07","2.36604e-07","-2.910678422672","0.004"
"4","domain_nameforces_of_nature","-6.77595e-07","2.36604e-07","-2.863835908624","0.005"
"5","domain_namegestures_postures_facial_expressions","1.31249e-07","2.36604e-07","0.554721177014","0.58"
"6","domain_namehuman_body","-4.01718e-07","2.36604e-07","-1.697851125886","0.091"
"7","domain_nameintellectual_technical_achievements","-3.11214e-07","2.36604e-07","-1.315336514904","0.19"
"8","domain_namematerial_culture_money_living","-3.2127e-08","2.33227e-07","-0.137748217442","0.89"
"9","domain_namephysical_reactions_sensations","-4.63262e-07","2.36604e-07","-1.957965274208","0.052"
"10","domain_nameproverbs","-6.26302e-07","2.36604e-07","-2.64704664087","0.009"
"11","domain_namespecial_concepts_world","-6.13698e-07","2.36604e-07","-2.593777520678","0.01"
"12","domain_nametime_space","-5.65002e-07","2.36604e-07","-2.38796450574","0.018"
