"","Term","Coefficient","SE","T.statistic","P.value"
"1","(Intercept)","2.91738e-07","1.50809e-07","1.934482173675","0.054"
"2","languagefr","6.37524e-07","2.15487e-07","2.958530881532","0.003"
"3","languagege","2.58959e-07","2.15487e-07","1.201738300366","0.23"
"4","superdomainintertextuality","-2.1227e-08","2.13277e-07","-0.099528396989","0.92"
"5","superdomainnatural_phenomena","-1.14082e-07","2.15487e-07","-0.529417670324","0.6"
"6","languagefr:superdomainintertextuality","-5.25974e-07","3.03185e-07","-1.734825199884","0.084"
"7","languagege:superdomainintertextuality","-1.67958e-07","3.03185e-07","-0.553977986571","0.58"
"8","languagefr:superdomainnatural_phenomena","-4.58014e-07","3.06295e-07","-1.495335572688","0.14"
"9","languagege:superdomainnatural_phenomena","-1.80524e-07","3.06295e-07","-0.589380806945","0.56"
